Metric,Value
Precision (0),0.7019247748543175
Recall (0),0.7256297918948521
F1-Score (0),0.7135804685396284
Precision (1),0.37361950406334654
Recall (1),0.34687560456568
F1-Score (1),0.35975120385232745
AUC,0.5712357776310044
CO2_kg,0.013979167599402248
